,sentence,sentiment,disgust,shame,sadness,anger,fear,joy,guilt,disgust_2,shame_2,sadness_2,anger_2,fear_2,joy_2,guilt_2
11,"When I was tired and unmotivated, I shouted at my girlfriend and á
and brought up negative sides of her character which are actually á
not so important.",shame,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"When I think that I do not study enough.  After the weekend I á
think that I should have been able to have accomplished á
something during that time.",guilt,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,When I pass an examination which I did not think I did well.,joy,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"When one has arranged to meet someone and that person arrives á
late, in the meantime one starts thinking about all that could á
have gone wrong e.g a traffic accident.",fear,0,0,2,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,When one is unjustly accused of something one has not done.,anger,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,When one's studies seem hopelessly difficult and uninteresting.  ,sadness,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,"When one finds out that someone you know is not at all like one á
had thought, for instance friends who steal and things like that, á
quite unwarranted.",disgust,0,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"When one has been unjust, stupid towards someone else. ",shame,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,When one has neglected or been unjust to a good friend.,guilt,1,0,1,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Passing an exam I did not expect to pass.,joy,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21,"When I climbed up a tree to pick apples.  The angle of the ladder á
I was on did not enable me to get high enough.  This implied á
that the ladder was not very stable.",fear,1,0,0,1,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22,Friends who torture animals.,anger,1,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,[ Same as in anger.],sadness,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Friends who torture animals.,disgust,1,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,[ Same as above - friends who torture animals.],shame,1,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,[ When excuses are necessary and I get out of doing it myself.],guilt,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,When I had my children.,joy,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"When my 2 year old son climbed up and sat on the 7th floor á
balcony with his legs hanging out.  He was holding on tightly to á
the upper railing of the balcony but he could have easily lost á
his balance when he sat down.",fear,1,0,2,1,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,When my partner was attacked and lost three teeth.,anger,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"When I see children on T.V from areas devastated by drought and á
war.",sadness,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,When I nearly walked on a blindworm and then saw it crawl away.,disgust,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,"When I saw my 18 year old son grab an oxygen mask as he had á
breathing difficulties.  I had a bad conscience because I had not á
stopped smoking.  Medication for the dilation of his breathing á
tubes also caused a sense of guilt in me.",shame,2,0,3,2,1,0,0,0.35714285714285715,0.3392857142857143,0.30357142857142855,0.0,0.0,0.0,0.0
33,"I experience a sense of guilt as my middle son cannot express á
himself like other children, neither verbally nor in writing.",guilt,1,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34,When my child was born.,joy,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,"It was winter/spring and the ice was melting.  I was far out on a á
jetty and I poked the ice with a long branch to try and break it. á
 The branch went through the ice and I fell in, the water closed á
in over my head.",fear,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,"Unjust accusations directed at me and my way of acting, by á
someone close to me.  ",anger,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Failing an examination.,sadness,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"A drunkard fell, started bleeding and wet himself.  Disgust that á
turned into sadness-unpleasantness.",disgust,1,0,2,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,"When, as an adult I have been caught lying or behaving badly.",shame,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,"When I am in an environment or with a person much worse off than á
me, I realize how privileged I am.",guilt,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,When I saw a person I had not seen for a long time.,joy,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,"When, as a child, I was nearly knocked down by a car.",fear,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,"When I heard on the radio that the football match in Belgium had á
ended in a catastrophe, and several people had died.  I could not á
 understand how normal people could behave in such a way.",anger,1,0,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,"When I feel lonely, perhaps because I have to study a lot and I á
am shut up in my appartment.  Nothing happens in particular á
because there is no time for anything else.",sadness,1,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,"When one learns through the mass media all the wars and killing á
going on in the world.",disgust,0,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"I lied, to be precise I cancelled a meeting with a good friend.",shame,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,When one lets friends down,guilt,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
48,When I was accepted for a course on finance and accounting.,joy,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,"A bus drove over my right leg.  The event itself was not very á
frightening but when I had to wait in the emergency ward for á
three hours and then my leg began to swell, I was frightened.",fear,0,0,1,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"At my Summer job, nobody looked after me in particular and I had á
to learn all on my own.",anger,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,When I was not accepted as a student in finance and accounting.,sadness,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,"When I had just moved into my new appartment I found a ventilator á
in the kitchen.  I was going to clean it when I found that the á
drum was full of mud and slime.  I felt disgusted.",disgust,1,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"My elder brother and I have not always had a good relationship á
and I feel ashamed of myself as I do not call him to talk to him á
nowadays.",shame,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54,"At my Summer job a new caretaker had been employed who was my age á
 but I preferred going out for lunch with the accounts personnel á
rather than with him.",guilt,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Passed an exam by 2 points.,joy,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,"In a cottage in a large forest, I was alone for a while in the á
dark.",fear,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,When I spoke to Jan-Erik Wikstr÷m on the telephone. ,anger,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Railway station good-bye.,sadness,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,"I saw a cripple in rags with small children in Italy.  He was á
probably an imposter.",disgust,1,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,"I told a friend that I was going to a party and he would not á
enjoy himself if he came along.  He understood  that he would not á
have fitted in and there was something in that.",shame,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"I was the reason behind the break-up of my friend's relationship á
with his girlfriend.  She finished with him.",guilt,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,I passed an exam that I was absolutely certain that I had failed.,joy,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,"On the way back from Denmark with a friend on a small yatch, á
there was a storm and my friend was blown overboard;  I was very á
scared till I managed to get him back onboard.",fear,0,0,0,1,0,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
64,I locked myself out.,anger,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,I missed the last tram home and had to walk in the pouring rain.,sadness,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,I found some worms in the food and I had obviously eaten some.,disgust,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,"My friend was so intoxicated that the police came and took him á
away, and they later contacted his parents.",shame,1,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,I hapened to overhear something which I was not meant to hear.,guilt,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,When I won a trip to Greece in a competition.,joy,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,"When I am out in the dark and a suspicious looking character á
comes towards me.",fear,0,0,1,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
71,"At work, when an elderly man complained unjustifiably about me and á
distrusted me.",anger,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,When I had not understood anything after a lecture.,sadness,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,When an alcoholic stood dribbling over a food counter.,disgust,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,"When my friend and I were discussing the good looks of a guy we á
realized that he had been listening.",shame,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,"When I complained about a colleague to the manager and he told á
her that someone had complained; this colleague came to me á
believing that I liked her.",guilt,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,"At a friend's birthday party with some of my closest friends.  It á
was all very pleasant and one could say that I was happy to have á
such good friends.",joy,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"On the way home one Friday night in the heavy rain the car á
acquaplanned.  I lost contact with the road surface for a few á
seconds.",fear,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
78,Mad at my dad.,anger,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
79,A case of unrequited love.,sadness,0,0,2,0,1,1,0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
80,A bad smelling cucumber.,disgust,2,0,1,1,1,0,0,0.5405405405405406,0.0,0.4594594594594595,0.0,0.0,0.0,0.0
81,Nearly caught masturbating.,shame,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,I do not help out enough at home.,guilt,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,I felt very happy when I won the football pools.,joy,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,"When I flew from Athens to Copenhagen after a holiday.  The plane á
was caught in a storm and it began to shake and I thouhght that á
we were going to crash.",fear,0,0,1,1,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
85,When someone stole my bike.,anger,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,"When I saw the list of books to read for an acccouting course, I á
thought "" Oh God how will I ever manaage it!""",sadness,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,"It was when I read a newspaper article on the future and they á
foresaw that we would be eating frog-burgers by the year 2000.  á
An illustration showed a frog between two pieces of bread.",disgust,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,"When I dropped a bottle in the state liquor store and everyboby á
started laughing.",shame,0,0,1,1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,"When I was young - 14, I pinched from a store and was caught.  á
The store then contacted my parents.",guilt,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,"When the whole family gets together for a one week holiday.  á
Everybody feels free and the trip is well planned.  It works out á
well and we enjoy ourselves.",joy,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,"When I could not find my 2 year old daughter.  I ran and looked á
for her everywhere and could not find her.  (I finally found her, á
she had gone to bed to sleep)",fear,1,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,When friends try to put me down or hurt me.  ,anger,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
93,Marriage crises.  Boredom.,sadness,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,When someone makes advances that one does not want.,disgust,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,The discovery that one has only thought of oneself.,shame,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,When I spanked a child in anger and later regretted it terribly.,guilt,0,0,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,When I passed the first examination that I had to repeat.,joy,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,"When I drove to Stockholm for the first time and drove off the á
Stora Hissingen road at the wrong exit.",fear,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
99,When my boyfriend went away for a month long holiday without me.,anger,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,"Last year when I worked during the Summer holidays and studied á
at the same time for an examination I had to repeat; my boyfriend á
went to Greece for a holiday for a month.",sadness,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,When a dog is left whining outside a shop.,disgust,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,"When I promised to help a friend over a weekend and did not keep á
the promise.",shame,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,When I realized that I had three more examinations to take.,guilt,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,"The day I was told that I had been accepted as a student of á
economics.",joy,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,"While taking a short cut through the Vasa park, I was surrounded á
by three people who tried to steal my money.  I was scared and á
was saved only by the appearance of other people.",fear,0,0,1,2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,"At a restaurant I observed how the gypsies tried to get money by á
cheating the foreigners i.e non Swedish speaking.  My anger had á
nothing to do with hatred against foreigners, but it was an á
expression of the anger I feel when I see people being used .",anger,1,0,1,4,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
107,"At the begining of a new course one is afraid of encountering á
problems one can not manage.  Thoughts revolve around failing á
the subject and the consequences it would have for the future.",sadness,0,0,1,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,"While walking in town I noticed how the police harrassed a man á
who was under the influence of alcohol.  They terrified him with á
the thought of arrest by driving close behind him on a pedestrian á
street.  My disgust was directed at the gestures and the facial á
expressions of the policemen; they seemed to be enjoying á
themselves.",disgust,1,0,1,1,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,"When my boyfriend revealed that he knew that I had discovered á
things of an important nature about him, I felt ashamed as I had á
not mentioned it earlier.",shame,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
110,"When I am dishonest to a friend to whom I am very close.  I á
feel guilty because I know that he gives a different version of á
the truth and I have not corrected these mistakes, and he is á
aware that I know that they are wrong.",guilt,1,0,2,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
111,"When I found out that I had passed the last two exams by a á
margin of three marks.",joy,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,When my father was ill and was waiting for the results of his tests.,fear,1,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,"When I got caught in the pouring rain last Thursday and did not á
have a raincoat on me.",anger,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,When I failed an exam.,sadness,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,"At a Sm÷rgasbord table, a man mixed differnet kinds of picked á
herrings with fruit salad.",disgust,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,"When I had not prepared my contribution to the group as á
thoroughly as the other members, with the result that the á
overall result was poor.",shame,0,0,0,0,0,0,0,0.375,0.0,0.625,0.0,0.0,0.0,0.0
117,"When my father and I worked on the house just after he had á
recovered from illness, I was rather lazy.  This meant that he á
had to work hard and was not very well later.",guilt,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
118,"When I gave birth to my son and saw that he was alive and that I á
had managed it well.  He was born a month too early with a á
malfunctioning lung.  This happened a year ago.",joy,0,0,0,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,"When I found out that my father had lung cancer and they did not á
know how long he would live.",fear,1,0,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,"When a colleague asked me for help at work, despite the fact á
that he had more time to do it than I had.",anger,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,"When I did not get the salary increase that I had been expecting á
and understood how little one's work was appreciated.",sadness,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
122,When I was weeding the garden I found a lizard in my hand.,disgust,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,"When I met a friend whom I had not seen for a long time and á
heard all about her troubles, I thought that I should have got á
in touch with her earlier.",shame,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,"I got angry at my mother for something trivial.  We were in a á
bad mood because my father was very ill and I knew that my mother á
really needed support.  I had reacted wrongly.",guilt,3,0,5,4,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,"New year's eve 1983/1984, I met my girlfriend.  We stood on the á
steps outside her parents home and I kissed her for the á
first time.",joy,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,"When I was stopped by plain clothes policemen because the car I á
was driving had overturned on the Avenue.  I had been driving too á
fast, and I was afraid when I was stopped, questionned and then á
toild to go.  The situation ended happily since there were no á
consequences.",fear,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,"The editor changed the heading of an article that I had written.  á
He considered the heading to be derogatory towards the person I had written á
about.",anger,1,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,"A close acquaintance of the family died of lung cancer.  á
Although it was expected, I still felt depressed.",sadness,1,0,2,2,2,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
129,"When I saw a picture, in the Gothenburg Post, of a totally á
demolished car with two fatally injured passengers.  The car was á
so badly damaged that they couldn't get the bodies out at the á
scene of the accident.",disgust,0,0,3,0,2,0,0,0.0,0.0,0.7272727272727273,0.2727272727272727,0.0,0.0,0.0
130,"One night I had a sexual intercourse with another man.  My sexual á
desire and my curiosity had made me jump into bed with him.  I am á
ashamed of myself now.",shame,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,"Due to laziness, I failed the term studies completely at á
University.  I also wanted, to some extent, to protest against my á
parents' expectations.",guilt,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,When I got the loan for my studies.,joy,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,"I met intoxicated people with dubious intentions in a back alley á
one Wednesday night.",fear,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,"On the T.V I saw a news feature on South Africa.  A policeman      á
attacked a group of black people with a whip.",anger,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
135,"The thought of having to read a boring book of 400 pages in á
English.",sadness,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Grovelling people.,disgust,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,My inability to assert myself positively in a group.,shame,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,I experience feelings of guilt because I do not study enough.,guilt,1,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
139,"Observing someone in the cafeteria noisily gulping in his food, á
having extremely bad manners.",disgust,1,0,1,1,1,1,0,0.5405405405405406,0.0,0.4594594594594595,0.0,0.0,0.0,0.0
140,"I guess I have often been ashamed after having talked badly of á
other people.",shame,1,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
141,Having been angry and unpleasant towards my parents.,guilt,2,0,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
142,"When my sister - after a history of one abortion and one á
stillbirth - gave birth to a perfectly healty boy.",joy,2,0,1,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,"When my sister had the still born child, she was emotionally very á
deep down, and it took her a long time to recover.",fear,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
144,"We were starting a student project, and the teacher we talked to á
was very negative and not very helpful.",anger,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,"When my boyfriend openly let me down, preferring another girl.",sadness,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
146,"I felt some disgust for my boyfriend for a time, after he had á
left me.",disgust,1,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,Can't think of any.,shame,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,"Before an accident, my aunt offered me the front seat of the car, á
next to the driver. I declined, she took that seat and was killed á
there when the car crashed.",guilt,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,"Unexpected visit by a close friend, whom I hadn't seen for half a á
year.",joy,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,"I wandered by mistake into the safety zone of a shooting range, á
and was shot at.",fear,0,0,2,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,Being treated unfairly.,anger,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Breaking up with a girl.,sadness,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Nothing.,disgust,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,None.,shame,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Little contact with my father before he died.,guilt,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,"When I was accepted as a student at the college, not having á
thought it possible.",joy,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,"When I was the first to arrive at the scene after an accident, á
and found that a close school friend had been killed.",fear,0,0,1,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,"I was accused of having done something, which I hadn't and got á
very angry.",anger,1,0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,When my grandmother died.,sadness,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,Not applicable.,disgust,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,"A couple of years ago during the summer holiday, I was fishing at á
a lake with my husband.  Suddenly it started raining while the á
sun was still shining. I experienced a feeling of joy, happiness á
and fulfillment.  the whole nature was full of music.",joy,1,0,2,1,1,8,0,0.0,0.0,0.0,0.0,0.1,0.9,0.0
162,"I was alone at home, in bed reading a womens' magazine in which á
there were storiees of paranormal experiences.  My leg was á
itching and I stretched my hand to scratch and I felt another á
strange hand. (later I realized that it was the corner of the á
blanket)",fear,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,"I went to a lecture and once again it had been cancelled, this á
was the second time.  One had a negative attitude towards the á
lecturer.á
",anger,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,"I heard that a former superior of mine had died, I was later at á
home home reading about it in the newspaper and I thought of our á
interaction and how it was no longer possible.  The limited scope á
of human life is sad.",sadness,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,"In the tram there was a fat, sickly looking woman in front of me á
who was asking for directions in a thick voice.  When she got up to á
go a disgusting smell of urine came from her.  I felt that I á
would choke.",disgust,4,0,3,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,"When we were at home, my husband and I, he made a remark about á
something I had done, in a perfectly friendly manner.  My deed á
had been unjust and I knew that my husband was right, therefore my á
sense of shame.",shame,1,0,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,"I made a remark to my sister concerning her attitude to men, the á
way she talked and I compared her to an acquaintance of mine.  á
Later, the same evening, my sister looked sad.  I felt guilty á
about her sadness.",guilt,0,0,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
